#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 3.600E-08 , 1.684E+00 , 1.694E+00 , 5.939E-03 , 1.799E+00 , 4.104E-03 , 1.800E+00 , 1.694E+00 , 5.038E-02 
 3.625E-08 ,-6.618E-05 , 1.751E+00 , 1.799E+00 , 3.773E-03 , 1.799E+00 , 4.104E-03 , 1.751E+00 , 1.797E+00 
 3.650E-08 , 1.693E+00 , 1.700E+00 , 5.008E-03 , 1.799E+00 , 3.784E-03 , 1.799E+00 , 8.417E-03 , 3.539E-02 
 3.675E-08 , 2.621E-02 , 1.797E+00 , 1.799E+00 , 3.777E-03 , 1.799E+00 , 3.784E-03 , 1.768E+00 , 1.716E-03 
 3.700E-08 ,-2.269E-03 ,-9.143E-05 , 1.800E+00 , 1.799E+00 , 3.783E-03 , 1.799E+00 ,-6.980E-05 , 1.795E+00 
 3.725E-08 , 1.801E+00 , 1.790E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.787E-03 , 1.792E+00 , 1.801E+00 
 3.750E-08 , 1.706E+00 , 8.068E-03 , 4.197E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 7.951E-03 , 2.169E-02 
 3.775E-08 , 2.666E-02 , 1.768E+00 , 6.106E-05 , 4.066E-03 , 1.800E+00 , 1.800E+00 , 1.768E+00 , 4.148E-03 
 3.800E-08 ,-2.106E-03 ,-8.465E-05 , 1.799E+00 , 4.767E-05 , 4.066E-03 , 1.800E+00 , 1.729E+00 , 1.795E+00 
 3.825E-08 , 1.682E+00 , 1.669E+00 , 1.800E+00 , 1.799E+00 , 4.781E-05 , 4.064E-03 , 1.680E+00 , 7.788E-02 
 3.850E-08 ,-1.378E-04 , 1.761E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 4.568E-05 ,-1.800E-04 , 1.797E+00 
 3.875E-08 , 1.794E+00 , 1.800E+00 , 4.862E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 ,-1.046E-04 , 1.800E+00 
 3.900E-08 , 1.800E+00 , 2.340E-04 , 6.931E-05 , 4.062E-03 , 1.800E+00 , 1.800E+00 , 1.788E+00 , 1.800E+00 
 3.925E-08 , 1.709E+00 , 6.666E-03 , 1.799E+00 , 4.774E-05 , 4.066E-03 , 1.800E+00 , 1.709E+00 , 2.869E-02 
 3.950E-08 ,-9.068E-05 , 1.800E+00 , 3.834E-03 , 1.799E+00 , 4.773E-05 , 4.067E-03 , 1.747E+00 , 1.796E+00 
 3.975E-08 , 1.690E+00 , 1.696E+00 , 5.661E-05 , 3.821E-03 , 1.799E+00 , 4.871E-05 , 8.806E-03 , 3.790E-02 
 4.000E-08 , 2.626E-02 , 1.797E+00 , 1.799E+00 , 4.683E-05 , 3.821E-03 , 1.799E+00 , 2.749E-04 ,-1.069E-03 
 4.025E-08 , 4.541E-04 , 3.291E-02 , 1.800E+00 , 1.799E+00 , 4.676E-05 , 3.822E-03 , 1.765E+00 , 1.236E-03 
 4.050E-08 ,-2.339E-03 ,-2.448E-03 , 4.069E-03 , 1.800E+00 , 1.799E+00 , 4.584E-05 ,-1.338E-04 , 1.796E+00 
 4.075E-08 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 3.968E-03 , 1.800E+00 , 1.799E+00 ,-9.540E-05 , 1.800E+00 
 4.100E-08 , 1.800E+00 ,-6.334E-04 , 3.833E-03 , 1.799E+00 , 3.968E-03 , 1.800E+00 , 1.787E+00 , 1.800E+00 
 4.125E-08 , 1.708E+00 , 6.967E-03 , 1.799E+00 , 3.784E-03 , 1.799E+00 , 3.966E-03 , 1.709E+00 , 2.880E-02 
 4.150E-08 ,-1.124E-04 , 1.800E+00 , 3.840E-03 , 1.799E+00 , 3.784E-03 , 1.799E+00 ,-8.850E-05 , 1.795E+00 
 4.175E-08 , 1.792E+00 , 1.800E+00 , 7.026E-05 , 3.830E-03 , 1.799E+00 , 3.788E-03 , 1.793E+00 , 1.800E+00 
 4.200E-08 , 1.706E+00 , 1.104E-02 , 5.435E-05 , 7.018E-05 , 3.830E-03 , 1.799E+00 , 7.967E-03 , 2.159E-02 
 4.225E-08 , 2.664E-02 , 1.769E+00 , 4.293E-05 , 5.449E-05 , 7.014E-05 , 3.831E-03 , 1.768E+00 , 4.087E-03 
 4.250E-08 ,-2.278E-03 ,-9.959E-05 , 1.799E+00 , 3.084E-05 , 5.458E-05 , 6.928E-05 ,-9.792E-05 , 1.795E+00 
 4.275E-08 , 1.801E+00 , 1.790E+00 , 1.800E+00 , 1.799E+00 , 3.097E-05 , 5.314E-05 ,-1.150E-04 , 1.801E+00 
